import_batch_id,id,parent_legacy_crm_id,user_email,body,occurred_at,humeur_raw,original_comment_status,close_reqs,modere,source_sheet,raw_source_data,resolution_status,is_approved
old-data-berta2-all-20260501-01,c4694243,1bafb367,e.terral@otisud.com,1 panneau,2021-06-16 00:00:00,ok,En cours,false,true,Commentaires,"{""ID"":""c4694243"",""User"":""e.terral@otisud.com"",""CRM"":""1bafb367"",""Commentaire"":""1 panneau"",""Date"":""16/06/2021"",""Moderer"":""TRUE"",""Status"":""En cours"",""Humeur"":""ok"",""close_reqs"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,d65ffe9c,00021f65,d.philippe@otisud.com,traitée,2021-07-16 00:00:00,🙂,Traitée,true,true,Commentaires,"{""ID"":""d65ffe9c"",""User"":""d.philippe@otisud.com"",""CRM"":""00021f65"",""Commentaire"":""traitée"",""Date"":""16/07/2021"",""Moderer"":""TRUE"",""Status"":""Traitée"",""Humeur"":""🙂"",""close_reqs"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,f63f5775,fcb54cf2,m.lallement@otisud.com,avait des questions sur la télédéclaration / les opérateurs numériques / la déclaration de sa fermeture temporaire (01 décembre 2021 au 11 janvier 2022),2021-09-14 00:00:00,🙂,Traitée,true,true,Commentaires,"{""ID"":""f63f5775"",""User"":""m.lallement@otisud.com"",""CRM"":""fcb54cf2"",""Commentaire"":""avait des questions sur la télédéclaration / les opérateurs numériques / la déclaration de sa fermeture temporaire (01 décembre 2021 au 11 janvier 2022)"",""Date"":""14/09/2021"",""Moderer"":""TRUE"",""Status"":""Traitée"",""Humeur"":""🙂"",""close_reqs"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,d220b6d1,f8a1f34a,m.lallement@otisud.com,traité en direct au tel,2021-09-17 00:00:00,🙂,Traitée,true,true,Commentaires,"{""ID"":""d220b6d1"",""User"":""m.lallement@otisud.com"",""CRM"":""f8a1f34a"",""Commentaire"":""traité en direct au tel"",""Date"":""17/09/2021"",""Moderer"":""TRUE"",""Status"":""Traitée"",""Humeur"":""🙂"",""close_reqs"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,60eda5de,e5342c5e,m.lallement@otisud.com,j'ai envoyé un mail à Mme Chassenieux pour lui demander de nous envoyer ses nouvelles photos,2021-09-17 00:00:00,ok,En cours,false,true,Commentaires,"{""ID"":""60eda5de"",""User"":""m.lallement@otisud.com"",""CRM"":""e5342c5e"",""Commentaire"":""j'ai envoyé un mail à Mme Chassenieux pour lui demander de nous envoyer ses nouvelles photos"",""Date"":""17/09/2021"",""Moderer"":""TRUE"",""Status"":""En cours"",""Humeur"":""ok"",""close_reqs"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,2371643b,196213fb,m.lallement@otisud.com,formulaire de demande signalétique envoyé par mail à Mme Chassenieux,2021-09-17 00:00:00,ok,En cours,false,true,Commentaires,"{""ID"":""2371643b"",""User"":""m.lallement@otisud.com"",""CRM"":""196213fb"",""Commentaire"":""formulaire de demande signalétique envoyé par mail à Mme Chassenieux"",""Date"":""17/09/2021"",""Moderer"":""TRUE"",""Status"":""En cours"",""Humeur"":""ok"",""close_reqs"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,ad53eb5d,470ac1ac,m.lallement@otisud.com,"Au 27/09 : vérifier si son compte TDS est activé. Si ce n'est pas le cas, rappeler le presta pour fixer un RDV de formation au bureau",2021-09-17 00:00:00,🙂,En cours,false,true,Commentaires,"{""ID"":""ad53eb5d"",""User"":""m.lallement@otisud.com"",""CRM"":""470ac1ac"",""Commentaire"":""Au 27/09 : vérifier si son compte TDS est activé. Si ce n'est pas le cas, rappeler le presta pour fixer un RDV de formation au bureau"",""Date"":""17/09/2021"",""Moderer"":""TRUE"",""Status"":""En cours"",""Humeur"":""🙂"",""close_reqs"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,00b78254,e5342c5e,a.mir@otisud.com,"Photos reçues le 20 sept, AMIR transfère à Soubik",2021-09-20 00:00:00,ok,Traitée,true,true,Commentaires,"{""ID"":""00b78254"",""User"":""a.mir@otisud.com"",""CRM"":""e5342c5e"",""Commentaire"":""Photos reçues le 20 sept, AMIR transfère à Soubik"",""Date"":""20/09/2021"",""Moderer"":""TRUE"",""Status"":""Traitée"",""Humeur"":""ok"",""close_reqs"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,9d739c52,ecb52003,a.mir@otisud.com,"Il faut différencier la demande de promotion FB de la demande de promotion EXPLORE : AMIR gère explore, SG gère fb je crée une autre demande et j'avertis SG de traiter",2021-09-20 00:00:00,ok,En cours,false,true,Commentaires,"{""ID"":""9d739c52"",""User"":""a.mir@otisud.com"",""CRM"":""ecb52003"",""Commentaire"":""Il faut différencier la demande de promotion FB de la demande de promotion EXPLORE : AMIR gère explore, SG gère fb je crée une autre demande et j'avertis SG de traiter"",""Date"":""20/09/2021"",""Moderer"":""TRUE"",""Status"":""En cours"",""Humeur"":""ok"",""close_reqs"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,e5e4c930,082912f2,a.mir@otisud.com,M. a tel sur hotline. AMIR a rép. M a dit besoin de Joëlle Guichard pr projet. Amir a dit elle donne tel à Joëlle pour qu'elle le rappelle. Le M  adit ok et attend appel de Joëlle. Merci Joëlle,2021-09-21 00:00:00,🙂,En cours,false,true,Commentaires,"{""ID"":""e5e4c930"",""User"":""a.mir@otisud.com"",""CRM"":""082912f2"",""Commentaire"":""M. a tel sur hotline. AMIR a rép. M a dit besoin de Joëlle Guichard pr projet. Amir a dit elle donne tel à Joëlle pour qu'elle le rappelle. Le M  adit ok et attend appel de Joëlle. Merci Joëlle"",""Date"":""21/09/2021"",""Moderer"":""TRUE"",""Status"":""En cours"",""Humeur"":""🙂"",""close_reqs"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,08b109ab,ecb52003,a.mir@otisud.com,"Et surtout pour répondre à la demande, je note TI KAZ MARTIN et PAPANG pour Explore prochain et NL prochains no pb enregsitrés c'est comme si c'était fait",2021-09-21 00:00:00,ok,Traitée,true,true,Commentaires,"{""ID"":""08b109ab"",""User"":""a.mir@otisud.com"",""CRM"":""ecb52003"",""Commentaire"":""Et surtout pour répondre à la demande, je note TI KAZ MARTIN et PAPANG pour Explore prochain et NL prochains no pb enregsitrés c'est comme si c'était fait"",""Date"":""21/09/2021"",""Moderer"":""TRUE"",""Status"":""Traitée"",""Humeur"":""ok"",""close_reqs"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,e87bb952,082912f2,j.guichard@otisud.com,Contact avec Mr Baret aujoudhui,2021-09-22 00:00:00,🙂,En cours,false,true,Commentaires,"{""ID"":""e87bb952"",""User"":""j.guichard@otisud.com"",""CRM"":""082912f2"",""Commentaire"":""Contact avec Mr Baret aujoudhui"",""Date"":""22/09/2021"",""Moderer"":""TRUE"",""Status"":""En cours"",""Humeur"":""🙂"",""close_reqs"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,807cf75b,f8db9eb8,j.guichard@otisud.com,Mail envoyé à Mme avec toutes démarches à effectuer pour sa demande,2021-09-22 00:00:00,ok,Traitée,false,true,Commentaires,"{""ID"":""807cf75b"",""User"":""j.guichard@otisud.com"",""CRM"":""f8db9eb8"",""Commentaire"":""Mail envoyé à Mme avec toutes démarches à effectuer pour sa demande"",""Date"":""22/09/2021"",""Moderer"":""TRUE"",""Status"":""Traitée"",""Humeur"":""ok"",""close_reqs"":""FALSE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,2eb734ad,082912f2,j.guichard@otisud.com,discussion téléphonique avec Mr Barret qui m'a expliqué son projet. je dois lui envoyer un mail avec m'etre rensigné auprès des organismes concernés,2021-09-22 00:00:00,🙂,En cours,false,true,Commentaires,"{""ID"":""2eb734ad"",""User"":""j.guichard@otisud.com"",""CRM"":""082912f2"",""Commentaire"":""discussion téléphonique avec Mr Barret qui m'a expliqué son projet. je dois lui envoyer un mail avec m'etre rensigné auprès des organismes concernés"",""Date"":""22/09/2021"",""Moderer"":""TRUE"",""Status"":""En cours"",""Humeur"":""🙂"",""close_reqs"":"""",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,6e22ecaa,082912f2,j.guichard@otisud.com,Suite a conversation téléphonique mail avec renseignements nécessaires envoyés à M BARRET pour la création de son activité,2021-09-23 00:00:00,🙂,Traitée,true,true,Commentaires,"{""ID"":""6e22ecaa"",""User"":""j.guichard@otisud.com"",""CRM"":""082912f2"",""Commentaire"":""Suite a conversation téléphonique mail avec renseignements nécessaires envoyés à M BARRET pour la création de son activité"",""Date"":""23/09/2021"",""Moderer"":""TRUE"",""Status"":""Traitée"",""Humeur"":""🙂"",""close_reqs"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,ff76456b,c54f44a2,a.mir@otisud.com,Chrislène a répondu dans la foulée que Sébastien qu'elle a mis en copie du mail de l'IRT contactera le presta. Qui aussi été en copie. Balle dans le camp de l'IRT,2021-09-27 00:00:00,ok,Traitée,true,true,Commentaires,"{""ID"":""ff76456b"",""User"":""a.mir@otisud.com"",""CRM"":""c54f44a2"",""Commentaire"":""Chrislène a répondu dans la foulée que Sébastien qu'elle a mis en copie du mail de l'IRT contactera le presta. Qui aussi été en copie. Balle dans le camp de l'IRT"",""Date"":""27/09/2021"",""Moderer"":""TRUE"",""Status"":""Traitée"",""Humeur"":""ok"",""close_reqs"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
old-data-berta2-all-20260501-01,6a4bc1e2,9401640e,m.lallement@otisud.com,infos données en direct,2021-09-29 00:00:00,🙂,Traitée,true,true,Commentaires,"{""ID"":""6a4bc1e2"",""User"":""m.lallement@otisud.com"",""CRM"":""9401640e"",""Commentaire"":""infos données en direct"",""Date"":""29/09/2021"",""Moderer"":""TRUE"",""Status"":""Traitée"",""Humeur"":""🙂"",""close_reqs"":""TRUE"",""source_system"":""berta_v2_csv_export""}",pending,false
